Entry,Gene Names,Protein names,protein_symbol
A2A2Y4,FRMD3 EPB41L4O,FERM domain-containing protein 3,FRMD3
A2IDD5,CCDC78 C16orf25 JFP10,Coiled-coil domain-containing protein 78,CCDC78
A2PYH4,HFM1 SEC3D1,Probable ATP-dependent DNA helicase HFM1,HFM1
A2RRP1,NBAS NAG,NBAS subunit of NRZ tethering complex,NBAS
A2RTX5,TARS3 TARSL2,"Threonine--tRNA ligase 2, cytoplasmic",TARS3
A2RU14,TMEM218,Transmembrane protein 218,TMEM218
A2RU30,TESPA1 KIAA0748 HSPC257,Protein TESPA1,TESPA1
A2RU49,HYKK AGPHD1,Hydroxylysine kinase,HYKK
A2RUB1,MEIOC C17orf104,Meiosis-specific coiled-coil domain-containing protein MEIOC,MEIOC
A2RUB6,CCDC66,Coiled-coil domain-containing protein 66,CCDC66
A2RUC4,TYW5 C2orf60,tRNA wybutosine-synthesizing protein 5,TYW5
A2RUH7,MYBPHL,Myosin-binding protein H-like,MYBPHL
A2VDJ0,TMEM131L KIAA0922,Transmembrane protein 131-like,TMEM131L
A2VEC9,SSPOP KIAA2036 SSPO,SCO-spondin,SSPOP
A3KMH1,VWA8 KIAA0564,von Willebrand factor A domain-containing protein 8,VWA8
A4D0S4,LAMB4,Laminin subunit beta-4,LAMB4
A4D126,CRPPA ISPD,D-ribitol-5-phosphate cytidylyltransferase,CRPPA
A4D161,FAM221A C7orf46,Protein FAM221A,FAM221A
A4D1B5,GSAP PION,Gamma-secretase-activating protein,GSAP
A4D1E9,GTPBP10 OBGH2 UG0751c10,GTP-binding protein 10,GTPBP10
A4D1P6,WDR91 HSPC049,WD repeat-containing protein 91,WDR91
A4D1T9,PRSS37 TRYX2,Probable inactive serine protease 37,PRSS37
A4D256,CDC14C CDC14B2 CDC14Bretro,Dual specificity protein phosphatase CDC14C,CDC14C
A4D2B0,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,MBLAC1
A4GXA9,EME2,Probable crossover junction endonuclease EME2,EME2
A4UGR9,XIRP2 CMYA3,Xin actin-binding repeat-containing protein 2,XIRP2
A5A3E0,POTEF A26C1B,POTE ankyrin domain family member F,POTEF
A5D8T8,CLEC18A MRLP2,C-type lectin domain family 18 member A,CLEC18A
A5D8V6,VPS37C PML39,Vacuolar protein sorting-associated protein 37C,VPS37C
A5D8V7,ODAD3 CCDC151,Outer dynein arm-docking complex subunit 3,ODAD3
A5D8W1,CFAP69 C7orf63,Cilia- and flagella-associated protein 69,CFAP69
A5LHX3,PSMB11,Proteasome subunit beta type-11,PSMB11
A5PKW4,PSD EFA6 EFA6A KIAA2011 PSD1 TYL,PH and SEC7 domain-containing protein 1,PSD
A5PLL7,PEDS1 KUA PDES TMEM189,Plasmanylethanolamine desaturase 1,PEDS1
A5X5Y0,HTR3E,5-hydroxytryptamine receptor 3E,HTR3E
A5YKK6,CNOT1 CDC39 KIAA1007 NOT1 AD-005,CCR4-NOT transcription complex subunit 1,CNOT1
A5YM72,CARNS1 ATPGD1 KIAA1394,Carnosine synthase 1,CARNS1
A6BM72,MEGF11 KIAA1781 UNQ1949/PRO4432,Multiple epidermal growth factor-like domains protein 11,MEGF11
A6H8Y1,BDP1 KIAA1241 KIAA1689 TFNR,Transcription factor TFIIIB component B'' homolog,BDP1
A6H8Z2,FAM221B C9orf128,Protein FAM221B,FAM221B
A6NC98,CCDC88B BRLZ,Coiled-coil domain-containing protein 88B,CCDC88B
A6NCS4,NKX2-6 NKX2F,Homeobox protein Nkx-2.6,NKX2-6
A6ND01,IZUMO1R FOLR4 JUNO,Sperm-egg fusion protein Juno,IZUMO1R
A6ND36,FAM83G PAWS1,Protein FAM83G,FAM83G
A6NDB9,PALM3,Paralemmin-3,PALM3
A6NDE4,RBMY1B,"RNA-binding motif protein, Y chromosome, family 1 member B",RBMY1B
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,PGP
A6NDV4,TMEM8B C9orf127 NGX6,Transmembrane protein 8B,TMEM8B
A6NED2,RCCD1,RCC1 domain-containing protein 1,RCCD1
A6NEM1,GOLGA6L9 GOLGA6L20,Golgin subfamily A member 6-like protein 9,GOLGA6L9
A6NFA1,TRABD2B HKAT TIKI2,Metalloprotease TIKI2,TRABD2B
A6NFQ2,TCAF2 FAM115C FAM139A,TRPM8 channel-associated factor 2,TCAF2
A6NFX1,MFSD2B,Sphingosine-1-phosphate transporter MFSD2B,MFSD2B
A6NFY7,SDHAF1 LYRM8,"Succinate dehydrogenase assembly factor 1, mitochondrial",SDHAF1
A6NGG8,PCARE C2orf71,Photoreceptor cilium actin regulator,PCARE
A6NGQ2,OOEP C6orf156 KHDC2 OEP19,Oocyte-expressed protein homolog,OOEP
A6NGU5,GGT3P GGT3,Putative glutathione hydrolase 3 proenzyme,GGT3P
A6NHL2,TUBAL3,Tubulin alpha chain-like 3,TUBAL3
A6NHR9,SMCHD1 KIAA0650,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1
A6NHX0,CASTOR2 GATSL1 GATSL2,Cytosolic arginine sensor for mTORC1 subunit 2,CASTOR2
A6NI15,MSGN1,Mesogenin-1,MSGN1
A6NI61,MYMK TMEM226 TMEM8C,Protein myomaker,MYMK
A6NI73,LILRA5 ILT11 LILRB7 LIR9,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5
A6NIH7,UNC119B,Protein unc-119 homolog B,UNC119B
A6NIX2,WTIP,Wilms tumor protein 1-interacting protein,WTIP
A6NJ46,NKX6-3,Homeobox protein Nkx-6.3,NKX6-3
A6NJ78,METTL15 METT5D1,12S rRNA N4-methylcytidine,METTL15
A6NK06,ACOD1 IRG1,Cis-aconitate decarboxylase,ACOD1
A6NK58,LIPT2,"Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial",LIPT2
A6NK89,RASSF10,Ras association domain-containing protein 10,RASSF10
A6NKB5,PCNX2 KIAA0435 PCNXL2,Pecanex-like protein 2,PCNX2
A6NMZ7,COL6A6,Collagen alpha-6,COL6A6
A6NNB3,IFITM5,Interferon-induced transmembrane protein 5,IFITM5
A6NNM8,TTLL13 TTLL13P,Tubulin polyglutamylase TTLL13,TTLL13
A6NNN8,SLC38A8,Solute carrier family 38 member 8,SLC38A8
A6NNY8,USP27X USP22L USP27,Ubiquitin carboxyl-terminal hydrolase 27,USP27X
A6NNZ2,TUBB8B,Tubulin beta 8B,TUBB8B
A6PVC2,TTLL8,Protein monoglycylase TTLL8,TTLL8
A7E2V4,ZSWIM8 KIAA0913,Zinc finger SWIM domain-containing protein 8,ZSWIM8
A7E2Y1,MYH7B KIAA1512,Myosin-7B,MYH7B
A7KAX9,ARHGAP32 GRIT KIAA0712 RICS,Rho GTPase-activating protein 32,ARHGAP32
A7MCY6,TBKBP1 KIAA0775 SINTBAD,TANK-binding kinase 1-binding protein 1,TBKBP1
A7MD48,SRRM4 KIAA1853,Serine/arginine repetitive matrix protein 4,SRRM4
A7XYQ1,SOBP JXC1,Sine oculis-binding protein homolog,SOBP
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,POM121C
A8K0Z3,WASHC1 FAM39E WASH1,WASH complex subunit 1,WASHC1
A8K2U0,A2ML1 CPAMD9,Alpha-2-macroglobulin-like protein 1,A2ML1
A8K4G0,CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029,CMRF35-like molecule 7,CD300LB
A8K7I4,CLCA1 CACC1,Calcium-activated chloride channel regulator 1,CLCA1
A8K830,POU2AF3 C11orf93 CASC13 COLCA2,POU class 2 homeobox associating factor 3,POU2AF3
A8K8P3,SFI1 KIAA0542,Protein SFI1 homolog,SFI1
A8K8V0,ZNF785,Zinc finger protein 785,ZNF785
A8MPY1,GABRR3,Gamma-aminobutyric acid receptor subunit rho-3,GABRR3
A8MQ03,CYSRT1 C9orf169,Cysteine-rich tail protein 1,CYSRT1
A8MQ27,NEURL1B NEURL3,E3 ubiquitin-protein ligase NEURL1B,NEURL1B
A8MT69,CENPX FAAP10 MHF2 STRA13,Centromere protein X,CENPX
A8MTA8,CIMIP2B FAM166B,Ciliary microtubule inner protein 2B,CIMIP2B
A8MTJ3,GNAT3,Guanine nucleotide-binding protein G,GNAT3
A8MTJ6,FOXI3,Forkhead box protein I3,FOXI3
A8MTQ0,NOTO,Homeobox protein notochord,NOTO
A8MTZ0,BBIP1 BBIP10 NCRNA00081,BBSome-interacting protein 1,BBIP1
A8MU46,SMTNL1,Smoothelin-like protein 1,SMTNL1
A8MUP2,CSKMT METTL12,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial",CSKMT
A8MV65,VGLL3,Transcription cofactor vestigial-like protein 3,VGLL3
A8MVW5,HEPACAM2 MIKI UNQ305/PRO346,HEPACAM family member 2,HEPACAM2
A8MW92,PHF20L1 CGI-72,PHD finger protein 20-like protein 1,PHF20L1
A8MW95,BECN2 BECN1L1 BECN1P1,Beclin-2,BECN2
A8MW99,MEI4,Meiosis-specific protein MEI4,MEI4
A8MXD5,GRXCR1 DFNB25,Glutaredoxin domain-containing cysteine-rich protein 1,GRXCR1
A8MXV4,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,NUDT19
A8MYU2,KCNU1 KCNMA3 KCNMC1 SLO3,Potassium channel subfamily U member 1,KCNU1
A8MZ59,LEUTX,Paired-like homeodomain transcription factor LEUTX,LEUTX
A8TX70,COL6A5 COL29A1 VWA4,Collagen alpha-5,COL6A5
A9QM74,KPNA7,Importin subunit alpha-8,KPNA7
A9UHW6,MIF4GD SLIP1,MIF4G domain-containing protein,MIF4GD
A9YTQ3,AHRR BHLHE77 KIAA1234,Aryl hydrocarbon receptor repressor,AHRR
B0I1T2,MYO1G HA2,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2,MYO1G
B0L3A2,FBXW7-AS1 DEAR DEspR,Dual endothelin-1/VEGF signal peptide receptor,FBXW7-AS1
B0YJ81,HACD1 PTPLA,Very-long-chain,HACD1
B1AK53,ESPN DFNB36 LP2654,Espin,ESPN
B2RTY4,MYO9A MYR7,Unconventional myosin-IXa,MYO9A
B2RUY7,VWC2L,von Willebrand factor C domain-containing protein 2-like,VWC2L
B2RUZ4,SMIM1,Small integral membrane protein 1,SMIM1
B2RXF5,ZBTB42,Zinc finger and BTB domain-containing protein 42,ZBTB42
B2RXH2,KDM4E KDM4DL,Lysine-specific demethylase 4E,KDM4E
B3KU38,IQCJ-SCHIP1,IQCJ-SCHIP1 readthrough transcript protein,IQCJ-SCHIP1
B6A8C7,TARM1,"T-cell-interacting, activating receptor on myeloid cells protein 1",TARM1
B7U540,KCNJ18,Inward rectifier potassium channel 18,KCNJ18
B7ZAQ6,GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218,Golgi pH regulator A,GPR89A
C4AMC7,WASH3P FAM39DP,Putative WAS protein family homolog 3,WASH3P
C9JE40,PATL2,Protein PAT1 homolog 2,PATL2
C9JLW8,MCRIP1 FAM195B GRAN2,Mapk-regulated corepressor-interacting protein 1,MCRIP1
C9JR72,KBTBD13,Kelch repeat and BTB domain-containing protein 13,KBTBD13
C9JRZ8,AKR1B15,Aldo-keto reductase family 1 member B15,AKR1B15
D3W0D1,KLRF2,Killer cell lectin-like receptor subfamily F member 2,KLRF2
D6RGH6,MCIDAS IDAS MCI MCIN,Multicilin,MCIDAS
E0CX11,STMP1 C7orf73,Short transmembrane mitochondrial protein 1,STMP1
F5H094,SLCO1B3-SLCO1B7,SLCO1B3-SLCO1B7 readthrough transcript protein,SLCO1B3-SLCO1B7
G2XKQ0,SUMO1P1 SUMO5 UBL2 UBL6,Small ubiquitin-related modifier 5,SUMO1P1
H0YL14,TMEM250 C9orf69,Transmembrane protein 250,TMEM250
H3BV60,TGFBR3L,Transforming growth factor-beta receptor type 3-like protein,TGFBR3L
K7EJ46,SMIM22 CASIMO1,Small integral membrane protein 22,SMIM22
K9M1U5,IFNL4,Interferon lambda-4,IFNL4
L0R8F8,MIEF1 AltMiD51 AltMIEF1,Mitochondrial ribosome and complex I assembly factor AltMIEF1,MIEF1
M0R2J8,DCDC1 DCDC5 KIAA1493,Doublecortin domain-containing protein 1,DCDC1
O00115,DNASE2 DNASE2A DNL2,Deoxyribonuclease-2-alpha,DNASE2
O00116,AGPS AAG5,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",AGPS
O00124,UBXN8 D8S2298E REP8 UBXD6,UBX domain-containing protein 8,UBXN8
O00139,KIF2A KIF2 KNS2,Kinesin-like protein KIF2A,KIF2A
O00141,SGK1 SGK,Serine/threonine-protein kinase Sgk1,SGK1
O00142,TK2,"Thymidine kinase 2, mitochondrial",TK2
O00144,FZD9 FZD3,Frizzled-9,FZD9
O00148,DDX39A DDX39,ATP-dependent RNA helicase DDX39A,DDX39A
O00151,PDLIM1 CLIM1 CLP36,PDZ and LIM domain protein 1,PDLIM1
O00154,ACOT7 BACH,Cytosolic acyl coenzyme A thioester hydrolase,ACOT7
O00155,GPR25,Probable G-protein coupled receptor 25,GPR25
O00159,MYO1C,Unconventional myosin-Ic,MYO1C
O00160,MYO1F,Unconventional myosin-If,MYO1F
O00161,SNAP23,Synaptosomal-associated protein 23,SNAP23
O00165,HAX1 HS1BP1,HCLS1-associated protein X-1,HAX1
O00167,EYA2 EAB1,Eyes absent homolog 2,EYA2
O00168,FXYD1 PLM,Phospholemman,FXYD1
O00170,AIP XAP2,AH receptor-interacting protein,AIP
O00175,CCL24 MPIF2 SCYA24,C-C motif chemokine 24,CCL24
O00178,GTPBP1,GTP-binding protein 1,GTPBP1
O00180,KCNK1 HOHO1 KCNO1 TWIK1,Potassium channel subfamily K member 1,KCNK1
O00182,LGALS9,Galectin-9,LGALS9
O00186,STXBP3,Syntaxin-binding protein 3,STXBP3
O00187,MASP2,Mannan-binding lectin serine protease 2,MASP2
O00189,AP4M1 MUARP2,AP-4 complex subunit mu-1,AP4M1
O00192,ARVCF,Splicing regulator ARVCF,ARVCF
O00194,RAB27B,Ras-related protein Rab-27B,RAB27B
O00198,HRK BID3,Activator of apoptosis harakiri,HRK
O00203,AP3B1 ADTB3A,AP-3 complex subunit beta-1,AP3B1
O00204,SULT2B1 HSST2,Sulfotransferase 2B1,SULT2B1
O00206,TLR4,Toll-like receptor 4,TLR4
O00212,RHOD ARHD,Rho-related GTP-binding protein RhoD,RHOD
O00213,APBB1 FE65 RIR,Amyloid beta precursor protein binding family B member 1,APBB1
O00214,LGALS8,Galectin-8,LGALS8
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8
O00219,HAS3,Hyaluronan synthase 3,HAS3
O00220,TNFRSF10A APO2 DR4 TRAILR1,Tumor necrosis factor receptor superfamily member 10A,TNFRSF10A
O00221,NFKBIE IKBE,NF-kappa-B inhibitor epsilon,NFKBIE
O00222,GRM8 GPRC1H MGLUR8,Metabotropic glutamate receptor 8,GRM8
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSMD11
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSMD12
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,PSMD9
O00237,RNF103 ZFP103,E3 ubiquitin-protein ligase RNF103,RNF103
O00238,BMPR1B,Bone morphogenetic protein receptor type-1B,BMPR1B
O00241,SIRPB1,Signal-regulatory protein beta-1,SIRPB1
O00244,ATOX1 HAH1,Copper transport protein ATOX1,ATOX1
O00253,AGRP AGRT ART,Agouti-related protein,AGRP
O00254,F2RL2 PAR3,Proteinase-activated receptor 3,F2RL2
O00255,MEN1 SCG2,Menin,MEN1
O00257,CBX4,E3 SUMO-protein ligase CBX4,CBX4
O00258,GET1 CHD5 WRB,Guided entry of tail-anchored proteins factor 1,GET1
O00264,PGRMC1 HPR6.6 PGRMC,Membrane-associated progesterone receptor component 1,PGRMC1
O00267,SUPT5H SPT5 SPT5H,Transcription elongation factor SPT5,SUPT5H
O00268,TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135,Transcription initiation factor TFIID subunit 4,TAF4
O00270,GPR31,12-,GPR31
O00273,DFFA DFF1 DFF45 H13,DNA fragmentation factor subunit alpha,DFFA
O00287,RFXAP,Regulatory factor X-associated protein,RFXAP
O00291,HIP1,Huntingtin-interacting protein 1,HIP1
O00292,LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024,Left-right determination factor 2,LEFTY2
O00294,TULP1 TUBL1,Tubby-related protein 1,TULP1
O00299,CLIC1 G6 NCC27,Chloride intracellular channel protein 1,CLIC1
O00300,TNFRSF11B OCIF OPG,Tumor necrosis factor receptor superfamily member 11B,TNFRSF11B
O00303,EIF3F EIF3S5,Eukaryotic translation initiation factor 3 subunit F,EIF3F
O00305,CACNB4 CACNLB4,Voltage-dependent L-type calcium channel subunit beta-4,CACNB4
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,WWP2
O00311,CDC7 CDC7L1,Cell division cycle 7-related protein kinase,CDC7
O00322,UPK1A TSPAN21,Uroplakin-1a,UPK1A
O00327,BMAL1 ARNTL BHLHE5 MOP3 PASD3,Basic helix-loop-helix ARNT-like protein 1,BMAL1
O00329,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD
O00330,PDHX PDX1,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX
O00337,SLC28A1 CNT1,Sodium/nucleoside cotransporter 1,SLC28A1
O00338,SULT1C2 SULT1C1,Sulfotransferase 1C2,SULT1C2
O00339,MATN2 UNQ193/PRO219,Matrilin-2,MATN2
O00341,SLC1A7 EAAT5,Excitatory amino acid transporter 5,SLC1A7
O00358,FOXE1 FKHL15 FOXE2 TITF2 TTF2,Forkhead box protein E1,FOXE1
O00370,NA,LINE-1 retrotransposable element ORF2 protein,NA
O00391,QSOX1 QSCN6 UNQ2520/PRO6013,Sulfhydryl oxidase 1,QSOX1
O00399,DCTN6 WS3,Dynactin subunit 6,DCTN6
O00400,SLC33A1 ACATN AT1,Acetyl-coenzyme A transporter 1,SLC33A1
O00401,WASL,Actin nucleation-promoting factor WASL,WASL
O00408,PDE2A,"cGMP-dependent 3',5'-cyclic phosphodiesterase",PDE2A
O00409,FOXN3 C14orf116 CHES1,Forkhead box protein N3,FOXN3
O00410,IPO5 KPNB3 RANBP5,Importin-5,IPO5
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",POLRMT
O00418,EEF2K,Eukaryotic elongation factor 2 kinase,EEF2K
O00421,CCRL2 CCR11 CCR6 CKRX CRAM HCR,C-C chemokine receptor-like 2,CCRL2
O00422,SAP18 GIG38,Histone deacetylase complex subunit SAP18,SAP18
O00423,EML1 EMAP1 EMAPL EMAPL1,Echinoderm microtubule-associated protein-like 1,EML1
O00425,IGF2BP3 IMP3 KOC1 VICKZ3,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3
O00429,DNM1L DLP1 DRP1,Dynamin-1-like protein,DNM1L
O00442,RTCA RPC RPC1 RTC1 RTCD1,RNA 3'-terminal phosphate cyclase,RTCA
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A
O00444,PLK4 SAK STK18,Serine/threonine-protein kinase PLK4,PLK4
O00445,SYT5,Synaptotagmin-5,SYT5
O00451,GFRA2 GDNFRB RETL2 TRNR2,GDNF family receptor alpha-2,GFRA2
O00453,LST1 B144,Leukocyte-specific transcript 1 protein,LST1
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,PIK3R2
O00461,GOLIM4 GIMPC GOLPH4 GPP130,Golgi integral membrane protein 4,GOLIM4
O00462,MANBA MANB1,Beta-mannosidase,MANBA
O00463,TRAF5 RNF84,TNF receptor-associated factor 5,TRAF5
O00468,AGRN AGRIN,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment,AGRN
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2
O00470,MEIS1,Homeobox protein Meis1,MEIS1
O00471,EXOC5 SEC10 SEC10L1,Exocyst complex component 5,EXOC5
O00472,ELL2,RNA polymerase II elongation factor ELL2,ELL2
O00476,SLC17A3 NPT4,Sodium-dependent phosphate transport protein 4,SLC17A3
O00478,BTN3A3 BTF3,Butyrophilin subfamily 3 member A3,BTN3A3
O00481,BTN3A1 BTF5,Butyrophilin subfamily 3 member A1,BTN3A1
O00482,NR5A2 B1F CPF FTF,Nuclear receptor subfamily 5 group A member 2,NR5A2
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,NDUFA4
O00487,PSMD14 POH1,26S proteasome non-ATPase regulatory subunit 14,PSMD14
O00488,ZNF593 ZT86,Zinc finger protein 593,ZNF593
O00499,BIN1 AMPHL,Myc box-dependent-interacting protein 1,BIN1
O00501,CLDN5 AWAL TMVCF,Claudin-5,CLDN5
O00505,KPNA3 QIP2,Importin subunit alpha-4,KPNA3
O00506,STK25 SOK1 YSK1,Serine/threonine-protein kinase 25,STK25
O00507,USP9Y DFFRY,Ubiquitin carboxyl-terminal hydrolase 9Y,USP9Y
O00512,BCL9,B-cell CLL/lymphoma 9 protein,BCL9
O00519,FAAH FAAH1,Fatty-acid amide hydrolase 1,FAAH
O00522,KRIT1 CCM1,Krev interaction trapped protein 1,KRIT1
O00526,UPK2,Uroplakin-2,UPK2
O00533,CHL1 CALL,Neural cell adhesion molecule L1-like protein,CHL1
O00541,PES1,Pescadillo homolog,PES1
O00548,DLL1 UNQ146/PRO172,Delta-like protein 1,DLL1
O00555,CACNA1A CACH4 CACN3 CACNL1A4,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,CACNA1A
O00559,EBAG9 RCAS1,Receptor-binding cancer antigen expressed on SiSo cells,EBAG9
O00560,SDCBP MDA9 SYCL,Syntenin-1,SDCBP
O00562,PITPNM1 DRES9 NIR2 PITPNM,Membrane-associated phosphatidylinositol transfer protein 1,PITPNM1
O00566,MPHOSPH10 MPP10,U3 small nucleolar ribonucleoprotein protein MPP10,MPHOSPH10
O00567,NOP56 NOL5A,Nucleolar protein 56,NOP56
O00571,DDX3X DBX DDX3,ATP-dependent RNA helicase DDX3X,DDX3X
O00574,CXCR6 BONZO STRL33 TYMSTR,C-X-C chemokine receptor type 6,CXCR6
O00584,RNASET2 RNASE6PL,Ribonuclease T2,RNASET2
O00585,CCL21 SCYA21 UNQ784/PRO1600,C-C motif chemokine 21,CCL21
O00587,MFNG,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",MFNG
O00590,ACKR2 CCBP2 CCR10 CMKBR9 D6,Atypical chemokine receptor 2,ACKR2
O00591,GABRP,Gamma-aminobutyric acid receptor subunit pi,GABRP
O00592,PODXL PCLP PCLP1,Podocalyxin,PODXL
O00602,FCN1 FCNM,Ficolin-1,FCN1
O00622,CCN1 CYR61 GIG1 IGFBP10,CCN family member 1,CCN1
O00623,PEX12 PAF3,Peroxisome assembly protein 12,PEX12
O00624,SLC17A2 NPT3,Sodium-dependent phosphate transport protein 3,SLC17A2
O00625,PIR,Pirin,PIR
O00626,CCL22 MDC SCYA22 A-152E5.1,C-C motif chemokine 22,CCL22
O00628,PEX7 PTS2R,Peroxisomal targeting signal 2 receptor,PEX7
O00629,KPNA4 QIP1,Importin subunit alpha-3,KPNA4
O00631,SLN,Sarcolipin,SLN
O00635,TRIM38 RNF15 RORET,E3 ubiquitin-protein ligase TRIM38,TRIM38
O00712,NFIB,Nuclear factor 1 B-type,NFIB
O00716,E2F3 KIAA0075,Transcription factor E2F3,E2F3
O00743,PPP6C PPP6,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6C
O00744,WNT10B WNT12,Protein Wnt-10b,WNT10B
O00746,NME4 NM23D,"Nucleoside diphosphate kinase, mitochondrial",NME4
O00748,CES2 ICE,Cocaine esterase,CES2
O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,PIK3C2B
O00754,MAN2B1 LAMAN MANB,Lysosomal alpha-mannosidase,MAN2B1
